locus_tag	ftype	length_bp	gene	EC_number	COG	product
EKCPCKJH_00092	CDS	1545	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
EKCPCKJH_00093	CDS	432	yibN		COG0607	putative protein YibN
EKCPCKJH_00094	CDS	252	grxC		COG0695	Glutaredoxin 3
EKCPCKJH_00095	CDS	468	secB		COG1952	Protein-export protein SecB
EKCPCKJH_00096	CDS	1020	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
EKCPCKJH_00097	CDS	822	cysE_1	2.3.1.30	COG1045	Serine acetyltransferase
EKCPCKJH_00098	CDS	474	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
EKCPCKJH_00099	CDS	1191	lldD	1.1.-.-	COG1304	L-lactate dehydrogenase
EKCPCKJH_00100	CDS	777	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
EKCPCKJH_00101	CDS	1656	lldP		COG1620	L-lactate permease
EKCPCKJH_00102	CDS	4851	ehaG		COG5295	Autotransporter adhesin EhaG
EKCPCKJH_00103	CDS	684	sadB			Inner membrane lipoprotein SadB
EKCPCKJH_00104	CDS	363	yibL			putative protein YibL
EKCPCKJH_00105	CDS	210				hypothetical protein
EKCPCKJH_00106	CDS	588	mtlR		COG3722	Mannitol operon repressor
EKCPCKJH_00107	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
EKCPCKJH_00108	CDS	1914	mtlA_1		COG2213	PTS system mannitol-specific EIICBA component
EKCPCKJH_00109	CDS	363	yiaW_1			Inner membrane protein YiaW
EKCPCKJH_00110	CDS	1137	yibH		COG1566	Inner membrane protein YibH
EKCPCKJH_00111	CDS	609	yibF		COG0625	putative GST-like protein YibF
EKCPCKJH_00112	CDS	1392	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
EKCPCKJH_00113	CDS	1845	selB		COG3276	Selenocysteine-specific elongation factor
EKCPCKJH_00114	CDS	1152	adhB	1.1.1.1		Alcohol dehydrogenase 2
EKCPCKJH_00115	CDS	1539	aldB	1.2.1.-	COG1012	Aldehyde dehydrogenase B
EKCPCKJH_00116	CDS	213				hypothetical protein
EKCPCKJH_00117	CDS	324	yiaW_2			Inner membrane protein YiaW
EKCPCKJH_00118	CDS	1137	yiaV		COG1566	Inner membrane protein YiaV
EKCPCKJH_00119	CDS	975				hypothetical protein
EKCPCKJH_00120	CDS	741	mipA_1		COG3713	MltA-interacting protein
EKCPCKJH_00121	CDS	1971	hypBA1	3.2.1.185		Non-reducing end beta-L-arabinofuranosidase
EKCPCKJH_00122	CDS	1401	yicJ_2		COG2211	Inner membrane symporter YicJ
EKCPCKJH_00123	CDS	816	rhaR_2			HTH-type transcriptional activator RhaR
EKCPCKJH_00124	CDS	696	sgbE	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase SgbE
EKCPCKJH_00125	CDS	861	ulaE_1	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
EKCPCKJH_00126	CDS	663	sgbH	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
EKCPCKJH_00127	CDS	1497	lyx	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
EKCPCKJH_00128	CDS	987	yiaO		COG1638	2,3-diketo-L-gulonate-binding periplasmic protein YiaO
EKCPCKJH_00129	CDS	1278	siaM		COG1593	Sialic acid TRAP transporter large permease protein SiaM
EKCPCKJH_00130	CDS	474	yiaM		COG3090	2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM
EKCPCKJH_00131	CDS	468	yhcH_1		COG2731	putative protein YhcH
EKCPCKJH_00132	CDS	999	dlgD	1.1.1.130	COG2055	2,3-diketo-L-gulonate reductase
EKCPCKJH_00133	CDS	849	yiaJ		COG1414	DNA-binding transcriptional repressor YiaJ
EKCPCKJH_00134	CDS	474	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
EKCPCKJH_00135	CDS	1254	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
EKCPCKJH_00136	CDS	2031	malS	3.2.1.1	COG0366	Periplasmic alpha-amylase
EKCPCKJH_00137	CDS	825				hypothetical protein
EKCPCKJH_00138	CDS	1179	xylR			Xylose operon regulatory protein
EKCPCKJH_00139	CDS	1182	xylH		COG4214	Xylose transport system permease protein XylH
EKCPCKJH_00140	CDS	1542	xylG	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
EKCPCKJH_00141	CDS	993	xylF		COG4213	D-xylose-binding periplasmic protein
EKCPCKJH_00142	CDS	1323	xylA	5.3.1.5		Xylose isomerase
EKCPCKJH_00143	CDS	1455	xylB	2.7.1.17	COG1070	Xylulose kinase
EKCPCKJH_00144	CDS	342	yiaB		COG4682	Inner membrane protein YiaB
EKCPCKJH_00145	CDS	438	yiaA		COG4682	Inner membrane protein YiaA
EKCPCKJH_00146	CDS	996	wecH	2.3.1.-	COG3274	O-acetyltransferase WecH
EKCPCKJH_00147	CDS	300				hypothetical protein
EKCPCKJH_00148	CDS	912	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
EKCPCKJH_00149	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
EKCPCKJH_00150	CDS	522				IS3 family transposase IS103
EKCPCKJH_00151	CDS	366				IS3 family transposase IS150
EKCPCKJH_00152	CDS	213				hypothetical protein
EKCPCKJH_00153	CDS	213	cspA		COG1278	Cold shock protein CspA
EKCPCKJH_00154	CDS	291				hypothetical protein
EKCPCKJH_00155	CDS	711				hypothetical protein
EKCPCKJH_00156	CDS	975	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
EKCPCKJH_00157	CDS	660	yiaD		COG2885	putative lipoprotein YiaD
EKCPCKJH_00158	CDS	2334	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
EKCPCKJH_00159	CDS	441	yiaC	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YiaC
EKCPCKJH_00160	CDS	564	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
EKCPCKJH_00161	CDS	699				hypothetical protein
EKCPCKJH_00162	CDS	1209	yhjX			putative MFS-type transporter YhjX
EKCPCKJH_00163	CDS	1692	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
EKCPCKJH_00164	tRNA	77				tRNA-Pro(cgg)
EKCPCKJH_00165	CDS	1608	dppA		COG0747	Periplasmic dipeptide transport protein
EKCPCKJH_00166	CDS	1020	dppB		COG0601	Dipeptide transport system permease protein DppB
EKCPCKJH_00167	CDS	903	dppC		COG1173	Dipeptide transport system permease protein DppC
EKCPCKJH_00168	CDS	984	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
EKCPCKJH_00169	CDS	1005	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
EKCPCKJH_00170	CDS	1272	yhjV		COG0814	Inner membrane transport protein YhjV
EKCPCKJH_00171	CDS	108	ldrD_1			Small toxic polypeptide LdrD
EKCPCKJH_00172	CDS	108	ldrD_2			Small toxic polypeptide LdrD
EKCPCKJH_00173	CDS	108	ldrD_3			Small toxic polypeptide LdrD
EKCPCKJH_00174	CDS	1680	bcsG			Cellulose biosynthesis protein BcsG
EKCPCKJH_00175	CDS	192				hypothetical protein
EKCPCKJH_00176	CDS	1560	bcsE			Cyclic di-GMP binding protein BcsE
EKCPCKJH_00177	CDS	189	yhjR			Protein YhjR
EKCPCKJH_00178	CDS	753	bcsQ			Cellulose biosynthesis protein BcsQ
EKCPCKJH_00179	CDS	2619	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
EKCPCKJH_00180	CDS	2304	bcsB			Cyclic di-GMP-binding protein
EKCPCKJH_00181	CDS	1107	bcsZ	3.2.1.4	COG3405	Endoglucanase
EKCPCKJH_00182	CDS	3474	bcsC		COG0457	Cellulose synthase operon protein C
EKCPCKJH_00183	CDS	1950	pdeK	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeK
EKCPCKJH_00184	CDS	1287	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
EKCPCKJH_00185	CDS	1497	yhjJ		COG0612	Protein YhjJ
EKCPCKJH_00186	CDS	930	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
EKCPCKJH_00187	CDS	768	pdeH	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeH
EKCPCKJH_00188	CDS	2061				hypothetical protein
EKCPCKJH_00189	CDS	1323	yhjE			Inner membrane metabolite transport protein YhjE
EKCPCKJH_00190	CDS	1014	yhjD		COG1295	Inner membrane protein YhjD
EKCPCKJH_00191	CDS	972	dmlR_1			HTH-type transcriptional regulator DmlR
EKCPCKJH_00192	CDS	603	yhjB			Putative HTH-type transcriptional regulator YhjB
EKCPCKJH_00193	CDS	1650	treF	3.2.1.28	COG1626	Cytoplasmic trehalase
EKCPCKJH_00194	CDS	1398				hypothetical protein
EKCPCKJH_00195	CDS	1401	gadA	4.1.1.15	COG0076	Glutamate decarboxylase alpha
EKCPCKJH_00196	CDS	825	gadX_1			HTH-type transcriptional regulator GadX
EKCPCKJH_00197	CDS	729	gadW			HTH-type transcriptional regulator GadW
EKCPCKJH_00198	CDS	282				hypothetical protein
EKCPCKJH_00199	CDS	3114	mdtF		COG0841	Multidrug resistance protein MdtF
EKCPCKJH_00200	CDS	1158	mdtE			Multidrug resistance protein MdtE
EKCPCKJH_00201	CDS	279				hypothetical protein
EKCPCKJH_00202	CDS	528	gadE			Transcriptional regulator GadE
EKCPCKJH_00203	CDS	573	hdeD		COG3247	Protein HdeD
EKCPCKJH_00204	CDS	333	hdeA			Acid stress chaperone HdeA
EKCPCKJH_00205	CDS	339	hdeB			Acid stress chaperone HdeB
EKCPCKJH_00206	CDS	576	sapB_1		COG1285	Protein SapB
EKCPCKJH_00207	CDS	531	dctR		COG2771	HTH-type transcriptional regulator DctR
EKCPCKJH_00208	CDS	567	slp_1		COG3065	Outer membrane protein Slp
EKCPCKJH_00209	CDS	846				hypothetical protein
EKCPCKJH_00210	CDS	1014				hypothetical protein
EKCPCKJH_00211	CDS	297				hypothetical protein
EKCPCKJH_00212	CDS	426	arsC	1.20.4.1		Arsenate reductase
EKCPCKJH_00213	CDS	1290	arsB		COG1055	Arsenical pump membrane protein
EKCPCKJH_00214	CDS	354				hypothetical protein
EKCPCKJH_00215	CDS	174				hypothetical protein
EKCPCKJH_00216	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
EKCPCKJH_00217	CDS	843	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
EKCPCKJH_00218	CDS	2043	prlC	3.4.24.70	COG0339	Oligopeptidase A
EKCPCKJH_00219	CDS	753	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
EKCPCKJH_00220	CDS	1470	dtpB		COG3104	Dipeptide and tripeptide permease B
EKCPCKJH_00221	CDS	435	uspA		COG0589	Universal stress protein A
EKCPCKJH_00222	CDS	336	uspB			Universal stress protein B
EKCPCKJH_00223	CDS	1500	pitA_1		COG0306	Low-affinity inorganic phosphate transporter 1
EKCPCKJH_00224	CDS	1203			COG2081	putative protein
EKCPCKJH_00225	CDS	1053	yhiM			Inner membrane protein YhiM
EKCPCKJH_00226	CDS	1590				hypothetical protein
EKCPCKJH_00227	CDS	1623				hypothetical protein
EKCPCKJH_00228	CDS	1068				hypothetical protein
EKCPCKJH_00229	CDS	2736	rbbA		COG0842	Ribosome-associated ATPase
EKCPCKJH_00230	CDS	1125	yhhJ		COG0842	Inner membrane transport permease YhhJ
EKCPCKJH_00231	CDS	360				hypothetical protein
EKCPCKJH_00232	CDS	402	nikR		COG0864	Nickel-responsive regulator
EKCPCKJH_00233	CDS	807	nikE	7.2.2.11		Nickel import ATP-binding protein NikE
EKCPCKJH_00234	CDS	765	nikD	7.2.2.11		Nickel import ATP-binding protein NikD
EKCPCKJH_00235	CDS	834	nikC		COG1173	Nickel transport system permease protein NikC
EKCPCKJH_00236	CDS	945	nikB		COG0601	Nickel transport system permease protein NikB
EKCPCKJH_00237	CDS	1575	nikA		COG0747	Nickel-binding periplasmic protein
EKCPCKJH_00238	CDS	588				hypothetical protein
EKCPCKJH_00239	CDS	1050	yhhT_1		COG0628	Putative transport protein YhhT
EKCPCKJH_00240	CDS	1251	yhhS			putative MFS-type transporter YhhS
EKCPCKJH_00241	CDS	558				hypothetical protein
EKCPCKJH_00242	CDS	666	yhhQ		COG1738	Queuosine precursor transporter
EKCPCKJH_00243	CDS	246	tusA		COG0425	Sulfur carrier protein TusA
EKCPCKJH_00244	CDS	2199	zntA	3.6.3.3		Zinc/cadmium/lead-transporting P-type ATPase
EKCPCKJH_00245	CDS	627				hypothetical protein
EKCPCKJH_00246	CDS	360				hypothetical protein
EKCPCKJH_00247	CDS	270				hypothetical protein
EKCPCKJH_00248	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
EKCPCKJH_00249	CDS	1494	ftsY		COG0552	Signal recognition particle receptor FtsY
EKCPCKJH_00250	CDS	669	ftsE		COG2884	Cell division ATP-binding protein FtsE
EKCPCKJH_00251	CDS	1059	ftsX		COG2177	Cell division protein FtsX
EKCPCKJH_00252	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
EKCPCKJH_00253	CDS	1104	livJ		COG0683	Leu/Ile/Val-binding protein
EKCPCKJH_00254	CDS	384	panZ			PanD regulatory factor
EKCPCKJH_00255	CDS	1110	livK		COG0683	Leucine-specific-binding protein
EKCPCKJH_00256	CDS	927	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
EKCPCKJH_00257	CDS	1278				hypothetical protein
EKCPCKJH_00258	CDS	768	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
EKCPCKJH_00259	CDS	714	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
EKCPCKJH_00260	CDS	1317	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
EKCPCKJH_00261	CDS	888	ugpA		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
EKCPCKJH_00262	CDS	846				hypothetical protein
EKCPCKJH_00263	CDS	1071	ugpC	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
EKCPCKJH_00264	CDS	744	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
EKCPCKJH_00265	CDS	441	yhhA			putative protein YhhA
EKCPCKJH_00266	CDS	1743	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
EKCPCKJH_00267	CDS	489	aaaT	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
EKCPCKJH_00268	CDS	1038	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
EKCPCKJH_00269	CDS	696	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
EKCPCKJH_00270	CDS	996	gntR			HTH-type transcriptional regulator GntR
EKCPCKJH_00271	CDS	528	gntK	2.7.1.12	COG3265	Thermoresistant gluconokinase
EKCPCKJH_00272	CDS	1341	gntU		COG2610	Low-affinity gluconate transporter
EKCPCKJH_00273	CDS	594				hypothetical protein
EKCPCKJH_00274	CDS	1104	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
EKCPCKJH_00275	CDS	2187	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
EKCPCKJH_00276	CDS	1974	glgX	3.2.1.196	COG1523	Glycogen debranching enzyme
EKCPCKJH_00277	CDS	1296	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
EKCPCKJH_00278	CDS	1434	glgA	2.4.1.21	COG0297	Glycogen synthase
EKCPCKJH_00279	CDS	2448	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
EKCPCKJH_00280	CDS	1506				hypothetical protein
EKCPCKJH_00281	CDS	711				hypothetical protein
EKCPCKJH_00282	CDS	768				hypothetical protein
EKCPCKJH_00283	CDS	606				hypothetical protein
EKCPCKJH_00284	CDS	1506	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
EKCPCKJH_00285	CDS	327	glpE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
EKCPCKJH_00286	CDS	831	glpG_1	3.4.21.105	COG0705	Rhomboid protease GlpG
EKCPCKJH_00287	CDS	759	glpR		COG1349	Glycerol-3-phosphate regulon repressor
EKCPCKJH_00288	CDS	1599	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
EKCPCKJH_00289	CDS	1227	rtcB_1	6.5.1.-	COG1690	RNA-splicing ligase RtcB
EKCPCKJH_00290	CDS	1017	rtcA	6.5.1.4	COG0430	RNA 3'-terminal phosphate cyclase
EKCPCKJH_00291	CDS	2706	malT		COG2909	HTH-type transcriptional regulator MalT
EKCPCKJH_00292	CDS	2394	malP_2	2.4.1.1	COG0058	Maltodextrin phosphorylase
EKCPCKJH_00293	CDS	2085	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
EKCPCKJH_00294	CDS	1317	gntT		COG2610	High-affinity gluconate transporter
EKCPCKJH_00295	CDS	576	nfuA		COG0316	Fe/S biogenesis protein NfuA
EKCPCKJH_00296	CDS	684	prs_1			Putative ribose-phosphate pyrophosphokinase
EKCPCKJH_00297	CDS	771	bioH	3.1.1.85	COG0596	Pimeloyl-[acyl-carrier protein] methyl ester esterase
EKCPCKJH_00298	CDS	879				ISNCY family transposase ISVsa17
EKCPCKJH_00299	CDS	237	feoC			putative [Fe-S]-dependent transcriptional repressor FeoC
EKCPCKJH_00300	CDS	2322	feoB		COG0370	Fe(2+) transporter FeoB
EKCPCKJH_00301	CDS	228	feoA		COG1918	Fe(2+) transport protein A
EKCPCKJH_00302	CDS	2322	yhgF		COG2183	Protein YhgF
EKCPCKJH_00303	CDS	477	greB		COG0782	Transcription elongation factor GreB
EKCPCKJH_00304	CDS	720	ompR			Transcriptional regulatory protein OmpR
EKCPCKJH_00305	CDS	1353	envZ	2.7.13.3		Osmolarity sensor protein EnvZ
EKCPCKJH_00306	CDS	297				hypothetical protein
EKCPCKJH_00307	CDS	318	higB-2_1		COG2026	Toxin HigB-2
EKCPCKJH_00308	CDS	1623	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
EKCPCKJH_00309	CDS	1725				hypothetical protein
EKCPCKJH_00310	CDS	879	hslO		COG1281	33 kDa chaperonin
EKCPCKJH_00311	CDS	402	hslR		COG1188	Heat shock protein 15
EKCPCKJH_00312	CDS	669	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
EKCPCKJH_00313	CDS	2136	yrfF			Putative membrane protein IgaA 
EKCPCKJH_00314	CDS	561	nudE	3.6.1.-	COG0494	ADP compounds hydrolase NudE
EKCPCKJH_00315	CDS	2553	mrcA		COG5009	Penicillin-binding protein 1A
EKCPCKJH_00316	CDS	780				hypothetical protein
EKCPCKJH_00317	CDS	540				hypothetical protein
EKCPCKJH_00318	CDS	441				hypothetical protein
EKCPCKJH_00319	CDS	405				hypothetical protein
EKCPCKJH_00320	CDS	1209	pilQ		COG4796	Type IV pilus biogenesis and competence protein PilQ
EKCPCKJH_00321	CDS	522	aroK	2.7.1.71	COG0703	Shikimate kinase 1
EKCPCKJH_00322	CDS	1089	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
EKCPCKJH_00323	CDS	1287	damX		COG3266	Cell division protein DamX
EKCPCKJH_00324	CDS	837	dam_1	2.1.1.72	COG0338	DNA adenine methylase
EKCPCKJH_00325	CDS	678	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
